#{"t_start": 1768770363.0436838, "env_id": "None"}
r,l,t
-314.56387,171,1.586583
-177.76482,209,1.656433
-546.9436,364,1.935757
-815.4032,465,2.117509
-895.505,671,2.522513
-1494.2048,926,3.3427
-1525.4153,861,3.592357
-43.768982,67,3.722933
-2089.1223,1396,4.825721
-2329.8462,1654,4.828722
-1824.4474,1327,5.105479
-1324.6484,925,5.153717
-158.62427,185,5.200853
-116.53,122,14.72049
-3895.3235,2406,15.332165
-1078.5415,690,15.938568
-1067.4852,760,16.215778
-1107.5883,889,16.709556
-258.49304,358,16.978273
-410.59348,351,17.453512
-488.592,659,18.32339
-1993.4976,1344,18.721345
-3384.2007,2281,27.801218
-1126.5107,1086,29.264723
