#{"t_start": 1768769612.2853587, "env_id": "None"}
r,l,t
-41.10177,107,1.549226
-168.36642,113,1.562253
-192.39372,160,1.657343
-217.86705,218,2.044251
-1168.9915,599,2.50445
-793.99664,647,2.598963
-576.73096,550,3.10974
-446.34805,446,3.32754
-1669.6528,1163,3.780437
-209.00032,181,4.161468
-623.26587,482,4.301473
-3053.079,1424,4.320505
-1655.5729,1183,12.300836
-1066.626,605,12.356923
-206.36453,143,12.640445
-2039.9227,1730,14.298994
-1623.1564,1881,15.768774
-6505.2793,4058,15.887022
-3579.6082,3911,23.780719
-170.16998,114,23.984395
